,date,Bariloche,isPartial,Mes,Año
72,2020-08-02,35,False,8,2020
73,2020-08-09,33,False,8,2020
74,2020-08-16,32,False,8,2020
75,2020-08-23,31,False,8,2020
76,2020-08-30,30,False,8,2020
77,2020-09-06,30,False,9,2020
78,2020-09-13,29,False,9,2020
79,2020-09-20,26,False,9,2020
80,2020-09-27,30,False,9,2020
81,2020-10-04,31,False,10,2020
82,2020-10-11,28,False,10,2020
83,2020-10-18,33,False,10,2020
84,2020-10-25,33,False,10,2020
85,2020-11-01,31,False,11,2020
86,2020-11-08,36,False,11,2020
87,2020-11-15,39,False,11,2020
88,2020-11-22,40,False,11,2020
89,2020-11-29,41,False,11,2020
90,2020-12-06,43,False,12,2020
91,2020-12-13,49,False,12,2020
92,2020-12-20,41,False,12,2020
93,2020-12-27,54,False,12,2020
94,2021-01-03,60,False,1,2021
95,2021-01-10,65,False,1,2021
96,2021-01-17,66,False,1,2021
97,2021-01-24,63,False,1,2021
98,2021-01-31,60,False,1,2021
99,2021-02-07,65,False,2,2021
100,2021-02-14,56,False,2,2021
101,2021-02-21,53,False,2,2021
102,2021-02-28,53,False,2,2021
103,2021-03-07,51,False,3,2021
104,2021-03-14,48,False,3,2021
105,2021-03-21,43,False,3,2021
106,2021-03-28,48,False,3,2021
107,2021-04-04,47,False,4,2021
108,2021-04-11,36,False,4,2021
109,2021-04-18,41,False,4,2021
110,2021-04-25,38,False,4,2021
111,2021-05-02,36,False,5,2021
112,2021-05-09,37,False,5,2021
113,2021-05-16,39,False,5,2021
114,2021-05-23,32,False,5,2021
115,2021-05-30,35,False,5,2021
116,2021-06-06,39,False,6,2021
117,2021-06-13,42,False,6,2021
118,2021-06-20,47,False,6,2021
119,2021-06-27,50,False,6,2021
120,2021-07-04,52,False,7,2021
121,2021-07-11,59,False,7,2021
122,2021-07-18,58,False,7,2021
123,2021-07-25,60,False,7,2021
124,2021-08-01,56,False,8,2021
125,2021-08-08,55,False,8,2021
126,2021-08-15,67,False,8,2021
127,2021-08-22,61,False,8,2021
128,2021-08-29,52,False,8,2021
129,2021-09-05,52,False,9,2021
130,2021-09-12,48,False,9,2021
131,2021-09-19,50,False,9,2021
132,2021-09-26,53,False,9,2021
133,2021-10-03,47,False,10,2021
134,2021-10-10,52,False,10,2021
135,2021-10-17,55,False,10,2021
136,2021-10-24,60,False,10,2021
137,2021-10-31,59,False,10,2021
138,2021-11-07,54,False,11,2021
